ID,優先度,種類,場所,確認した状態と改善の方向,詳細,状態
A01,P1,不整合,平方根Web「ルートの整理」,「36の平方根は6」が±6の説明と矛盾。計算は正しい。「√36=6」と区別する,math.md / M01,未修正
A02,P2,表示,二次関数・三角形面積,a=1、Aのx=-3、Bのx=3からaを2倍。面積27→54でも自動縮尺で図の面積は0.72倍。比較前後を同じ範囲にする,math.md / M02,未修正
A03,P2,表示,二次関数・変域/変化の割合,近接したA/B、Aと目盛10が重なる。点の位置に応じたラベル回避が必要,math.md / M03,未修正
A04,P2,表示,三平方・Web体験3（準備中）,x=-1で長さ1と原点O、±2で長さと目盛が接触。寸法・点名・目盛の帯を分ける,math.md / M04,未修正
A05,P2,不整合,三平方・Web体験1（準備中）,1つの図を切り替えるのに「左の/右の」と説明。「最初/並べ替え後」に対応させる,math.md / M06,未修正
A06,P2,表示,相似・解答p7問14,EC=9を辺が横切る。辺と直角方向にラベルを離す,pdfs.md / PDF-01,未修正
A07,P2,表示,円・解説p10/問20（準備中）,交差弦の4・6が線上、Xと角印が近接。辺別のラベル位置と角印を調整,pdfs.md / PDF-02,未修正
A08,P2,提案,円・証明（準備中）,紙p5–6とWeb体験2で44°/70°、160°/40°の中心角が図にない。円周角との対応を段階的に示す,math.md / M05、pdfs.md / PDF-03,未修正
A09,P2,提案,二次方程式・解説p4,平方完成の面積はあるが辺x/3の寸法がない。x×3・3×3・x+3を対象の近くに示す,pdfs.md / PDF-04,未修正
A10,P2,提案,二次方程式・解説p5,一般形から平方完成済みの式へ飛ぶ。aで割る/定数を移す/同じ数を足すを追えるようにする,pdfs.md / PDF-05,未修正
A11,P2,提案,二次方程式・解答p9問31/32,道路幅2xと上下の二時刻が式・文だけ。解答に立式の根拠となる図を補う,pdfs.md / PDF-06,未修正
A12,P2,提案,二次関数・解答p5問26/p7問38,共通底辺OCと横向きの高さを図示せず文章で説明。2つの三角形に分ける図を添える,pdf-older.md / OLD-PDF-01,未修正
A13,P2,提案,二次関数・解説p3,割合8/2の8・2に対応する縦横の増加を図で探す必要がある。階段と数値を対応させる,pdf-older.md / OLD-PDF-02,未修正
A14,P2,提案,二次関数・紙のグラフ,目盛りが実測7pt。等縮尺を保ち、必要な数値を読みやすくする,pdf-older.md / OLD-PDF-03,未修正
A15,P2,提案,平方根・解説p5/解答問26–27,素因数のペアと余り、面積から辺・周へのつながりを文章で補う。短い図を追加する,pdf-older.md / OLD-PDF-05,未修正
A16,P3,提案,相似・解説p5,相似条件を三角形1個ずつで示し、2図の対応が見えない。初回は比較する2つを並べる,pdfs.md / PDF-08,未修正
A17,P2,提案,相似・平行線Web体験,等しい2組の角を本文で説明するが角印がない。平行を崩した状態との違いを図へ,math.md / M07,未修正
A18,P3,提案,図の拡大操作,円の静的図は拡大可能だが動く証明図は対象外。必要な図で操作・呼称をそろえる,math.md / M08,未修正
A19,P3,提案,円/三平方・比較用破線,直前のinputが毎回基準になり、ゆっくり動かすとほぼ重なる。比較したい時点を保持する案,math.md / M09,未修正
A20,P2,提案,全18冊の紙→Web,URL/クリックリンクがなく、体験メモも番号中心。PCでも辿れるURLと体験への直接リンクを最小限置く,pdfs.md / PDF-07、pdf-older.md / OLD-PDF-04,未修正
A21,P3,不整合,相似p17、円p12の問題案内,内容に直接対応する問題と後日の再挑戦が混ざる。ページ単位で分ける,pdfs.md / PDF-09,未修正
A22,P2,不整合,公開「勉強」入口,数学「2つの教材/平方根と二次関数」が残る。教科と単元も同列。件数・説明・階層を一覧に合わせる,navigation.md / N01,未修正
A23,P2,提案,数学一覧・単元末尾,追加順が三平方→円→相似…となり学習順の説明がない。学び始めと次の単元の道筋を用意,navigation.md / N05,未修正
A24,P2,提案,既習単元への復習リンク,多くは長い教材の先頭に戻る。必要な説明への直接リンクと元の問題への戻りを設計,navigation.md / N06,未修正
A25,P2,提案,円/三平方のWeb→紙,円は体験後の別問題への出口が弱い。三平方は別条件の問いはあるが対応問題/解答リンクがない,navigation.md / N08、math.md / M10,未修正
A26,P3,提案,公開ホーム,主ボタンが二次関数に固定。特集の理由を示すか、教材を選ぶ入口を主にする,navigation.md / N07,未修正
A27,P3,提案,平方根のヘッダー,Family Learning/家族の学習室という旧名が残る。現在のサイト名・戻る導線をそろえる,navigation.md / N09,未修正
A28,P2,操作,金庫/迷路/ドット絵,「本文へスキップ」で現在の章から遊ぶ画面に戻る。アンカーと画面切替を分ける,navigation.md / N02,未修正
A29,P2,操作,Jupyterサイコロ,次章へ進んだ後「戻る」で前章ではなく教材一覧へ。章移動の履歴を残す,navigation.md / N03、usability.md / U04,未修正
A30,P2,操作（条件付き）,Python全5教材,JS無効時に説明と配布ファイルまで消える。最低限の概要・素材・避難先を静的に残す,navigation.md / N04、usability.md / U05,未修正
A31,P2,操作,ブラウザPython入力欄,Tab/Shift+Tabで字下げし続け、キーボードで外へ移れない。字下げと脱出操作を両立,usability.md / U01,未修正
A32,P2,保存,ブラウザPython,保存不可の警告が消えた後も自動保存と表示。再読込で自作コードを失う。保存状態を常設し手動保存へ案内,usability.md / U02,未修正
A33,P2,操作,金庫ゲーム/章切替,DOM更新でフォーカスがBODYへ。連続操作と新章への移動先を保つ,usability.md / U03,未修正
A34,P3,提案,ドット絵グリッド,Tabの停止点が256個。グリッド内は矢印キー、Tabは次の操作へという方式を検討,usability.md / U06,未修正
A35,P3,提案,旧2単元の解答,「ヒントだけ見る」と案内するが、正答→解説→ヒントの配置。ヒントを読むと答えが目に入る,pdf-older.md / OLD-PDF-06,未修正
A36,P3,提案,二次関数・解説p2,3本の放物線と式・凡例が離れている。白黒の線種を保ち、曲線の近くに対応を示す,pdf-older.md / OLD-PDF-07,未修正
A37,P3,提案（保守）,旧2単元のPDF,6冊の再生成元/手順がrepoにない。問題番号・見た目を保って再生成可能な原稿を管理する,pdf-older.md / OLD-PDF-08,未修正
